Melt temperature,Mold temperature,SKx - Closing force,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,SVo - Shot volume,time_to_fill,ZDx - Plasticizing time,ZUx - Cycle time,SKs - Clamping force peak value,Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,CPn - Screw position at the end of hold pressure,quality
105.902,81.027,903.1,147.0,926.5,18.76,6.864,3.19,74.81,919.9,116.9,106.5,8.81,1.0
105.902,81.058,880.2743073917298,145.8,930.5,18.98,6.864,4.08,74.83,902.4492776647958,104.6,104.9,8.84,1.0
105.505,81.437,885.3145682230514,147.0,933.1,18.72,6.864,3.16,74.83,935.9,120.5,104.3,8.81,1.0
106.27437709003512,80.617,879.2377801132947,146.7,922.3,18.71,6.864,3.16,74.82,902.4543685173918,120.5,104.3,8.83,1.0
106.237,81.437,903.1,146.1,933.1,18.75,6.864,3.178709768779277,74.82,918.2,104.6,104.9,8.68,1.0
105.944,80.411,919.3508018893214,147.0,874.6,18.75,6.864,4.08,74.81,938.2,118.4,106.4787354579288,8.85,1.0
105.505,81.437,879.0771621061451,146.0,926.5,18.73,6.864,3.186854420112481,74.81,926.3,104.6,106.42419889537535,8.85,1.0
106.27593707319102,81.058,903.1,146.0,930.5,18.72,6.864,3.22,74.83,938.2,118.4,104.9,8.8,1.0
105.902,81.058,919.9105404470108,147.0,922.3,18.73,6.968,3.82,74.82,896.8,120.5,106.48962286685928,8.85,1.0
106.44957260875884,80.617,885.6876207165757,147.0,933.1,18.73,6.864,3.187274390939259,74.82,902.7797940569328,120.5,88.9,8.68,1.0
105.505,81.027,884.8991136193215,148.1,920.2,18.76,6.864,3.22,74.82,904.0,113.9,104.9,8.83,1.0
105.449,81.343,908.6,147.6,926.5,18.8,6.864,3.1884218313767705,74.82,895.3,120.5,107.8,8.83,1.0
105.449,81.362,903.1,145.6,937.7,18.75,6.864,3.1900675355613743,74.83,918.2,120.5,106.4808419318227,8.85,1.0
106.46427292821626,80.411,908.6,148.1,882.3,18.77,6.864,3.1899140863701323,74.82,918.2,120.5,106.48645096823525,8.76,1.0
105.944,81.343,920.0399697635548,145.9,874.6,18.73,6.968,3.187706628113244,74.83,902.3469020718716,113.9,107.3,8.8,1.0
106.237,81.058,901.6,145.9,937.7,18.76,7.228,3.191239253336878,74.81,919.9,120.5,106.31988882576574,8.76,1.0
106.323,81.027,879.6542523066439,146.0,937.7,18.75,6.864,3.1930392196016943,74.81,896.8,107.3,106.2,8.85,1.0
105.449,81.471,879.6379776453196,148.1,923.9,18.76,6.864,3.18998344180184,74.82,904.0,120.5,106.2,8.76,1.0
106.318,81.354,913.4,146.9,923.7,18.73,6.864,3.19,74.8,929.5,120.5,105.5,8.84,1.0
105.902,81.162,903.1,146.0,874.6,18.72,6.864,3.22,74.82,896.8,127.3,106.39122263946156,8.81,1.0
105.944,80.411,920.8398389861608,145.9,920.2,18.77,6.864,3.16,74.81,926.3,120.5,104.3,8.68,1.0
106.49273717804589,81.362,901.6,148.1,926.5,18.72,6.864,3.82,74.82,902.061429002184,104.6,106.4450570889321,8.82,1.0
105.902,81.437,901.6,146.1,937.7,18.77,6.864,3.16,74.81,902.2872667840952,120.5,106.37882884889176,8.85,1.0
106.4608372035762,80.411,908.6,147.6,917.5,18.75,6.864,3.2,74.83,935.9,120.5,88.9,8.85,1.0
106.323,81.471,879.5145349861236,148.1,937.7,18.89,6.864,4.08,74.82,904.0,104.6,106.2,8.82,1.0
105.699,80.762,927.6,146.2,904.2,18.81,6.864,3.4,74.82,946.5,120.2,100.3,8.75,1.0
106.326,81.523,883.0,145.8,927.3,18.73,6.968,3.15,74.8,899.0,116.3,104.3,8.84,1.0
105.866,81.023,905.3,145.5,919.9,18.73,6.864,3.18,74.84,920.4,116.3,105.7,8.83,1.0
106.47325731355625,81.027,901.6,145.6,933.1,18.73,6.864,3.22,74.82,896.8,118.4,88.9,8.84,1.0
106.323,81.027,920.4672026709464,145.9,923.9,18.71,6.864,4.08,74.82,926.3,120.5,88.9,8.85,1.0
106.27470533267012,80.617,903.1,146.1,917.5,18.76,6.864,3.22,74.82,902.5504537970864,116.9,107.8,8.59,1.0
105.505,80.617,908.6,147.0,923.9,18.77,7.124,4.08,74.82,938.2,120.5,107.8,8.85,1.0
106.237,81.402,879.4671075689242,145.9,882.3,18.75,6.864,3.2,74.81,938.2,116.9,106.57970029067974,8.82,1.0
106.371,81.413,883.7,147.6,921.8,18.75,6.968,3.17,74.83,901.1,115.1,105.0,8.82,1.0
106.323,81.362,919.7246798640996,146.7,933.1,18.72,6.968,3.82,74.83,938.2,120.5,93.1,8.8,1.0
106.323,81.058,920.1446043184144,146.0,922.3,18.73,6.968,3.22,74.81,935.9,127.3,93.1,8.84,1.0
106.006,81.035,909.0,145.7,930.6,18.77,7.124,3.19,74.82,922.3,114.8,105.3,8.79,1.0
105.944,81.162,903.1,147.0,922.3,18.71,6.864,3.22,74.81,902.1419351655444,104.6,106.2,8.85,1.0
105.449,81.402,908.6,145.8,874.6,18.77,7.228,3.16,74.82,935.9,116.9,106.7,8.84,1.0
106.323,81.362,908.6,145.9,926.5,18.76,6.864,4.08,74.81,895.3,104.6,106.37006838610606,8.85,1.0
106.46461662994312,81.471,886.9,147.0,882.3,18.73,6.968,3.16,74.82,904.0,113.9,104.3,8.83,1.0
106.414,81.411,881.0,145.2,926.1,18.75,7.124,3.18,74.81,897.7,115.4,105.6,8.82,1.0
105.488,80.519,919.1,146.6,895.5,18.79,6.864,3.83,74.83,936.5,107.9,90.2,8.77,1.0
106.323,80.617,903.1,146.7,917.5,18.77,6.864,3.181149015235185,74.82,895.3,120.5,88.9,8.59,1.0
106.27586044567995,81.437,901.6,146.7,937.7,18.76,7.124,3.186472338464725,74.82,896.8,120.5,106.2,8.85,1.0
106.323,81.058,908.6,147.0,933.1,18.77,6.864,3.16,74.82,938.2,116.9,104.9,8.81,1.0
106.323,81.343,919.727678286632,146.1,933.1,18.71,6.864,3.18164201641677,74.81,918.2,118.4,104.3,8.82,1.0
106.237,81.402,920.0222593207944,146.0,920.2,18.73,6.864,3.19387334360315,74.81,895.3,113.9,106.50513614485487,8.85,1.0
106.47049571526136,81.362,885.2382244080794,147.0,923.9,18.8,7.124,3.184944029038212,74.83,902.083382721094,113.9,104.9,8.85,1.0
106.2724057425526,81.402,903.1,147.6,923.9,18.73,6.864,4.08,74.83,901.9317185828392,113.9,88.9,8.84,1.0
105.902,81.437,908.6,146.7,922.3,18.77,6.864,3.16,74.83,902.5867475820796,118.4,106.52509651352992,8.76,1.0
105.449,81.058,885.6472582135424,147.6,930.5,18.73,6.968,3.16,74.82,903.0205742860784,116.9,107.8,8.85,1.0
106.275,81.437,885.6,148.1,933.1,18.71,6.968,3.16,74.83,902.2,120.5,106.4,8.85,1.0
105.944,80.411,885.5080781724425,145.8,917.5,18.73,6.864,3.22,74.82,938.2,113.9,104.3,8.85,1.0
105.944,80.617,908.6,145.9,926.5,18.73,6.968,3.190302022749315,74.82,902.6608198108656,127.3,104.9,8.85,1.0
105.944,81.402,901.6,146.1,922.3,18.8,6.968,3.184915631640004,74.82,926.3,127.3,104.9,8.76,1.0
106.49416130608104,81.362,886.9,146.7,917.5,18.73,6.864,3.82,74.83,938.2,120.5,104.9,8.8,1.0
106.51193773572535,80.411,908.6,148.1,930.5,18.71,7.124,3.195730735695475,74.81,902.3813246707648,120.5,106.2,8.82,1.0
106.27435944967236,81.437,885.76514174879,146.7,923.9,18.76,7.228,3.179682348214524,74.82,902.1490641432443,120.5,93.1,8.59,1.0
106.48662706605106,81.437,908.6,145.6,920.2,18.72,6.864,3.16,74.83,938.2,120.5,107.8,8.59,1.0
105.449,81.437,885.5982951103249,145.9,920.2,18.73,6.864,3.180664848464656,74.81,895.3,104.6,106.7,8.8,1.0
106.323,80.617,919.974394237024,146.7,937.7,18.72,6.864,3.198243094370966,74.83,918.2,127.3,106.2,8.8,1.0
106.323,81.471,920.0266553589354,147.0,882.3,18.76,7.124,3.1862837260545507,74.83,938.2,104.6,93.1,8.8,1.0
105.944,81.162,919.7647660923652,146.7,917.5,18.71,7.124,4.08,74.82,926.3,107.3,107.8,8.84,1.0
106.45421760813738,81.402,901.6,146.7,920.2,18.77,6.864,3.16,74.83,896.8,107.3,88.9,8.84,1.0
106.45300596341308,81.162,885.5490019241304,145.6,926.5,18.76,6.864,3.16,74.83,895.3,127.3,106.7,8.83,1.0
106.258,81.149,909.0,145.9,923.1,18.7,6.864,3.17,74.83,925.8,116.0,106.5,8.87,1.0
105.31,80.133,917.1,147.4,839.0,19.06,6.968,4.56,74.83,929.9,104.6,84.0,8.5,1.0
105.65,80.701,925.6,146.8,897.6,18.81,6.864,3.46,74.83,944.1,115.1,98.3,8.76,1.0
105.505,81.437,885.7451405880281,145.8,923.9,18.73,6.864,3.189536800277102,74.82,935.9,127.3,107.8,8.76,1.0
105.902,81.027,920.0545310534528,146.1,917.5,18.76,6.864,3.82,74.83,938.2,120.5,106.2,8.85,1.0
106.27356796490012,80.617,886.9,147.0,933.1,18.73,6.864,3.22,74.82,904.0,120.5,106.7,8.59,1.0
105.902,81.437,879.0665259792457,145.6,922.3,18.77,6.968,4.08,74.81,935.9,118.4,106.47219112851144,8.81,1.0
106.27559217948408,81.471,901.6,145.6,922.3,18.73,6.968,3.2,74.83,902.1828224288312,120.5,93.1,8.84,1.0
106.27547080674002,81.402,919.4079018187168,145.8,923.9,18.77,6.864,3.1860547006575994,74.82,938.2,127.3,88.9,8.81,1.0
106.47371951257296,81.437,885.4653920474215,146.7,933.1,18.72,6.864,3.82,74.81,902.830995213922,127.3,107.8,8.76,1.0
106.324,81.326,885.7,146.3,927.0,18.74,6.968,3.17,74.8,900.7,116.6,106.0,8.83,1.0
106.105,81.342,909.9,146.0,920.5,18.7,6.864,3.22,74.81,929.5,122.9,105.1,8.86,1.0
106.45400290313228,81.058,901.6,147.6,930.5,18.73,7.228,3.2,74.81,935.9,113.9,93.1,8.83,1.0
105.505,81.362,885.383582099842,146.0,933.1,18.75,6.864,3.16,74.83,904.0,107.3,107.3,8.84,1.0
105.449,81.162,908.6,147.6,923.9,18.98,7.124,3.82,74.82,919.9,107.3,104.9,8.85,1.0
106.4546299228448,81.162,879.9526894630551,148.1,922.3,18.76,7.124,3.1907323947661186,74.81,904.0,120.5,106.53595011910602,8.82,1.0
106.27281229528212,81.362,908.6,148.1,926.5,18.75,6.864,3.16,74.82,895.3,120.5,106.7,8.68,1.0
106.27414651058466,80.617,908.6,147.0,930.5,18.71,6.968,3.16,74.81,919.9,120.5,106.37023838981888,8.84,1.0
106.44657922541823,80.617,879.9506063771487,145.6,882.3,18.77,6.864,4.08,74.83,935.9,113.9,106.7,8.85,1.0
105.962,81.137,911.4,145.4,935.6,18.71,6.968,3.19,74.8,924.9,117.8,104.0,8.86,1.0
106.04,81.081,907.0,145.7,937.5,18.65,6.968,3.17,74.8,925.1,115.4,105.2,8.91,1.0
106.44910222573404,80.411,919.4585055315388,145.9,930.5,18.75,7.228,3.1887942104861344,74.82,895.3,113.9,88.9,8.8,1.0
105.944,80.411,919.8396500163706,145.9,917.5,18.77,6.864,3.16,74.83,902.7470721265946,120.5,93.1,8.68,1.0
105.902,81.402,908.6,147.0,882.3,18.98,6.864,4.08,74.82,895.3,120.5,88.9,8.83,1.0
106.474,81.398,879.3,145.6,930.6,18.75,6.968,3.22,74.8,896.1,113.3,102.7,8.82,1.0
106.27268351765008,81.362,885.1152200160644,147.6,926.5,18.75,6.968,3.16,74.82,935.9,118.4,107.8,8.85,1.0
106.27380162242537,81.027,879.3634548290732,146.0,933.1,18.73,6.968,3.82,74.82,895.3,127.3,88.9,8.85,1.0
106.44271912870744,81.471,903.1,147.6,874.6,18.98,7.228,3.16,74.83,935.9,113.9,104.9,8.81,1.0
106.276834698898,81.362,920.1083233376522,146.1,874.6,18.71,6.864,3.1905989196404674,74.83,919.9,120.5,104.9,8.76,1.0
105.944,81.362,920.214345025092,146.1,937.7,18.73,6.968,3.1860887509530764,74.81,926.3,104.6,107.8,8.8,1.0
105.902,81.402,901.6,146.1,917.5,18.77,6.968,3.82,74.82,938.2,120.5,107.8,8.84,1.0
105.944,81.362,920.3159758623387,147.6,917.5,18.72,6.864,4.08,74.82,904.0,104.6,93.1,8.59,1.0
106.424,81.382,883.0,145.2,921.1,18.75,6.968,3.2,74.83,897.7,119.3,104.8,8.81,1.0
105.902,81.162,885.6531199402178,147.0,923.9,18.71,6.864,3.16,74.83,918.2,107.3,104.3,8.83,1.0
105.902,81.343,901.6,146.7,922.3,18.73,6.864,3.186416487912663,74.83,938.2,104.6,106.53197452029572,8.8,1.0
106.46888306739002,81.471,908.6,148.1,882.3,18.73,6.864,3.82,74.83,918.2,116.9,106.41815018601471,8.85,1.0
105.944,80.411,908.6,147.6,937.7,18.8,7.124,3.1821867769941274,74.82,918.2,120.5,93.1,8.68,1.0
106.237,81.027,920.6524239039172,146.7,874.6,18.89,6.864,3.1822423033202467,74.83,918.2,120.5,104.3,8.85,1.0
106.237,81.027,880.2913458253767,146.7,930.5,18.8,6.968,3.22,74.81,926.3,107.3,107.8,8.59,1.0
106.2751909152374,80.617,919.9111723512796,145.8,920.2,18.72,6.864,3.16,74.83,919.9,120.5,107.3,8.81,1.0
106.272882694734,80.411,884.7113784657136,147.6,922.3,18.8,6.968,3.16,74.81,919.9,118.4,106.50363526286324,8.8,1.0
106.319,81.389,885.9,146.2,931.1,18.75,6.968,3.19,74.81,902.9,119.3,103.9,8.82,1.0
106.44385647380425,80.411,908.6,145.9,930.5,18.73,6.864,3.185705288007666,74.82,935.9,104.6,106.4830774509816,8.81,1.0
105.902,81.471,901.6,145.8,926.5,18.75,6.864,3.16,74.83,904.0,127.3,106.39614059244502,8.68,1.0
105.944,81.058,885.9688788951647,147.0,920.2,18.73,6.864,4.08,74.82,904.0,127.3,106.33677430781977,8.59,1.0
106.237,81.162,901.6,146.1,882.3,18.8,7.228,3.16,74.83,904.0,120.5,106.4939766165743,8.82,1.0
106.012,81.151,907.7,146.3,927.1,18.7,6.968,3.16,74.81,925.2,115.4,106.4,8.87,1.0
106.27380145840635,80.617,878.7879946045472,147.0,926.5,18.89,6.864,3.188311378451911,74.83,896.8,118.4,106.7,8.84,1.0
105.944,81.402,879.4116567876347,146.1,923.9,18.73,6.864,4.08,74.81,904.0,118.4,93.1,8.8,1.0
105.902,81.027,908.6,146.1,922.3,18.73,7.124,3.188897425414832,74.82,904.0,104.6,106.41378911793213,8.76,1.0
106.237,81.437,908.6,145.9,882.3,18.73,6.864,3.187348777537212,74.81,938.2,120.5,107.3,8.68,1.0
105.449,81.162,901.6,145.9,930.5,18.8,7.228,3.1903916070020983,74.81,919.9,120.5,88.9,8.84,1.0
105.505,81.027,908.6,145.9,882.3,18.89,6.864,3.180290956323508,74.82,935.9,120.5,106.2,8.83,1.0
106.459,81.534,880.0,145.2,924.6,18.76,6.968,3.18,74.8,898.3,118.7,106.0,8.81,1.0
106.406,81.536,882.1,145.5,920.0,18.73,6.968,3.22,74.81,899.2,119.6,105.1,8.84,1.0
105.449,80.617,885.7077704897721,147.6,937.7,18.73,7.124,3.22,74.81,926.3,120.5,93.1,8.8,1.0
105.902,81.343,903.1,145.8,922.3,18.77,6.864,3.1885087529782257,74.83,896.8,120.5,104.9,8.76,1.0
106.27513604643924,81.402,908.6,145.6,933.1,18.71,6.968,3.190415535998101,74.82,904.0,118.4,106.7,8.85,1.0
105.944,81.027,921.1716181047568,147.6,937.7,18.75,6.864,3.82,74.83,904.0,120.5,88.9,8.59,1.0
106.45617981582556,80.411,903.1,147.0,930.5,18.75,6.864,3.184992560158592,74.82,902.8691261710457,107.3,104.9,8.82,1.0
105.902,81.343,879.8904866923222,145.9,926.5,18.76,6.968,3.82,74.83,902.2506268499528,118.4,104.9,8.76,1.0
106.237,81.437,903.1,146.1,874.6,18.98,7.124,3.82,74.82,935.9,118.4,107.8,8.83,1.0
105.944,81.402,885.2738699140118,145.6,926.5,18.98,7.228,4.08,74.82,919.9,120.5,104.3,8.85,1.0
106.27144791643266,80.617,881.1231019217529,148.1,923.9,18.73,6.864,4.08,74.81,902.634128430988,116.9,107.3,8.82,1.0
106.323,81.343,919.815693166158,147.0,920.2,18.72,6.864,3.16,74.82,902.85240617966,120.5,88.9,8.82,1.0
105.902,81.162,919.6976306273114,145.6,926.5,18.72,6.864,3.2,74.81,919.9,107.3,93.1,8.81,1.0
106.237,81.471,908.6,146.0,926.5,18.71,6.864,3.16,74.82,902.3842919580449,116.9,107.8,8.82,1.0
105.902,80.411,920.0108350130856,147.0,920.2,18.77,6.968,3.1817463713766143,74.83,918.2,116.9,104.9,8.85,1.0
106.27458704720192,80.411,885.284899216525,147.6,922.3,18.89,6.864,4.08,74.83,903.186398774694,104.6,106.7,8.68,1.0
105.505,81.343,919.9218877161704,146.1,882.3,18.73,6.864,3.2054351522598257,74.83,918.2,120.5,104.9,8.85,1.0
106.323,80.617,886.9,148.1,882.3,18.73,6.864,3.189277031876153,74.82,904.0,107.3,88.9,8.76,1.0
106.42721380494676,81.027,885.5530686561904,145.8,926.5,18.71,6.864,3.22,74.83,935.9,120.5,106.45182287134708,8.85,1.0
106.323,80.617,885.3491143716951,145.9,933.1,18.73,6.864,3.16,74.82,895.3,127.3,93.1,8.83,1.0
106.323,81.471,885.400999766743,146.0,923.9,18.8,6.864,3.16,74.82,895.3,116.9,93.1,8.76,1.0
106.45793634160532,81.437,879.6050120992952,147.0,926.5,18.71,6.864,3.2,74.82,918.2,120.5,106.4886616968984,8.8,1.0
105.505,81.362,908.6,147.0,922.3,18.73,6.864,4.08,74.83,926.3,113.9,107.8,8.81,1.0
105.944,80.411,885.4864421871777,145.8,874.6,18.76,7.228,3.1940669994926862,74.82,926.3,113.9,106.54322685936276,8.82,1.0
106.4764082241313,81.058,901.6,148.1,930.5,18.72,6.864,3.186532341380385,74.83,919.9,113.9,104.3,8.82,1.0
105.944,81.058,901.6,146.1,922.3,18.73,6.864,3.19,74.82,918.2,120.5,107.8,8.84,1.0
105.505,80.617,920.6732838437242,146.7,917.5,18.76,7.124,3.1871843937100066,74.83,896.8,120.5,106.41311196635516,8.85,1.0
106.27556747096958,80.617,919.5347755758812,146.0,926.5,18.76,6.864,3.1857916042827594,74.83,904.0,120.5,106.39467332672868,8.81,1.0
106.4707986111746,81.162,920.5600995978546,145.9,930.5,18.75,6.864,3.199749492150708,74.81,935.9,127.3,104.3,8.8,1.0
106.237,81.437,920.8115763493156,145.8,930.5,18.98,6.968,4.08,74.82,938.2,107.3,106.7,8.84,1.0
106.072,81.242,908.4,145.5,928.0,18.75,6.968,3.19,74.8,927.5,118.7,105.5,8.81,1.0
105.944,81.362,885.5742131116249,146.7,874.6,18.73,6.864,3.1710816451242505,74.82,919.9,120.5,88.9,8.68,1.0
106.27261733355306,81.162,885.0171142199259,147.0,933.1,18.77,7.228,3.180203508744836,74.83,918.2,118.4,106.2,8.81,1.0
106.48409274382884,81.027,885.3352965947286,146.1,926.5,18.73,7.228,3.22,74.81,926.3,120.5,93.1,8.85,1.0
106.27337226762886,80.617,903.1,148.1,920.2,18.77,6.864,3.190858546942602,74.83,926.3,120.5,107.3,8.76,1.0
105.944,80.411,908.6,145.6,930.5,18.98,6.864,3.2,74.82,896.8,127.3,106.42455004457466,8.85,1.0
106.45823215714748,81.343,885.2367503969991,146.0,930.5,18.98,6.864,3.2,74.83,938.2,127.3,88.9,8.8,1.0
105.944,81.362,885.3241459318914,146.7,882.3,18.76,6.968,3.16,74.82,895.3,116.9,106.45764469893084,8.82,1.0
105.449,80.411,885.7066065078106,147.6,937.7,18.8,6.864,3.182203072473849,74.83,926.3,127.3,104.9,8.82,1.0
106.237,80.411,885.8863563053382,145.9,933.1,18.73,7.228,4.08,74.81,919.9,113.9,106.3560780429702,8.59,1.0
106.27411779712408,81.402,880.3883547931116,147.0,923.9,18.89,7.124,3.82,74.81,919.9,120.5,104.9,8.68,1.0
105.449,81.058,903.1,147.0,882.3,18.72,6.968,3.185569898930884,74.83,904.0,118.4,107.8,8.59,1.0
105.505,81.343,879.5888493233203,145.8,920.2,18.75,6.968,3.22,74.82,896.8,107.3,106.50958127667064,8.82,1.0
106.27493989311566,81.343,920.3853755665627,147.6,937.7,18.76,6.968,3.1937304313896457,74.82,919.9,104.6,106.7,8.84,1.0
105.944,81.027,920.1825320020836,146.1,937.7,18.71,6.864,3.1880668330769604,74.81,918.2,116.9,104.3,8.59,1.0
106.281,81.43,912.7,146.5,925.2,18.75,6.864,3.23,74.8,928.4,117.2,103.2,8.82,1.0
106.4624211931438,80.617,903.1,146.0,933.1,18.89,6.968,3.22,74.81,926.3,120.5,107.3,8.8,1.0
106.237,81.162,908.6,145.8,937.7,18.76,6.864,3.185950421938029,74.83,904.0,120.5,93.1,8.85,1.0
105.902,81.027,903.1,145.9,930.5,18.77,6.968,3.1838568331069186,74.82,935.9,118.4,107.8,8.83,1.0
106.46485436986428,81.437,903.1,145.6,922.3,18.75,6.968,3.197084137350969,74.81,904.0,120.5,106.53032551088889,8.85,1.0
105.449,81.162,886.9,147.6,922.3,18.75,6.968,3.1807387701328254,74.81,938.2,120.5,107.8,8.59,1.0
106.277,81.464,883.2,145.9,926.2,18.72,7.124,3.16,74.81,900.0,117.5,106.6,8.85,1.0
106.27553858474164,81.343,879.5421498164733,148.1,882.3,18.76,6.864,4.08,74.81,926.3,104.6,106.7,8.76,1.0
106.323,81.058,879.0289531395503,146.7,937.7,18.75,6.864,3.188001607254382,74.82,896.8,104.6,107.8,8.8,1.0
106.27620716573324,81.437,885.3152332424861,147.0,917.5,18.77,6.864,3.1879528908469537,74.83,902.126294383124,127.3,107.3,8.84,1.0
106.47191690705756,81.027,919.6880369977944,147.0,882.3,18.89,6.864,3.2,74.82,938.2,127.3,106.492142031296,8.85,1.0
106.44547799139782,81.362,878.8438011574481,147.0,920.2,18.75,6.864,3.1978682397212697,74.83,938.2,120.5,104.9,8.8,1.0
106.46058806551189,81.437,878.8286026055946,145.8,933.1,18.8,6.864,3.198863133065032,74.81,904.0,116.9,106.2,8.83,1.0
105.505,80.617,885.1037817049483,148.1,930.5,18.75,6.864,3.1939208540606505,74.82,919.9,113.9,104.9,8.68,1.0
105.505,80.617,919.7,147.6,882.3,18.89,6.864,3.82,74.81,938.2,104.6,93.1,8.68,1.0
106.295,81.343,886.7,145.3,921.0,18.73,6.968,3.19,74.8,902.4,116.3,104.2,8.84,1.0
105.449,80.617,908.6,148.1,930.5,18.76,6.864,3.2,74.81,919.9,107.3,107.8,8.82,1.0
105.449,81.437,903.1,148.1,933.1,18.98,6.864,3.182712520858673,74.82,919.9,120.5,104.9,8.81,1.0
105.902,80.411,903.1,146.7,920.2,18.76,6.968,3.16,74.82,896.8,113.9,106.2,8.68,1.0
105.902,80.411,885.3945703918337,147.0,937.7,18.73,6.968,3.185628679635667,74.82,896.8,120.5,104.3,8.8,1.0
106.478,81.362,879.1,145.6,917.5,18.77,6.968,3.22,74.82,895.3,120.5,104.3,8.8,1.0
106.323,81.437,901.6,145.6,917.5,18.89,6.968,3.179555413619443,74.81,938.2,127.3,106.7,8.76,1.0
105.505,81.362,903.1,145.8,933.1,18.77,6.864,3.1933396165356287,74.83,902.466927706966,120.5,107.3,8.84,1.0
